Day,Morning,Afternoon,Evening
Monday,"E125, E132, E134, E139, E153, E156","E123, E146, E147, E159, E161","E163, E166, E169, E170"
Tuesday,"E129, E134, E135, E139, E153, E156","E121, E150, E159, E161, E169","E148, E163, E166, E170"
Wednesday,"E125, E132, E134, E135, E139, E153","E123, E148, E161, E166, E170","E146, E147, E150, E163"
Thursday,"E125, E132, E134, E139, E153, E156","E121, E148, E150, E161, E169","E146, E147, E163, E170"
Friday,"E132, E134, E135, E139, E153, E156","E121, E123, E147, E150, E161","E146, E159, E163, E169"
Saturday,"E125, E132, E134, E135, E139, E156","E121, E123, E146, E150, E161","E159, E163, E169, E170"
Sunday,"E125, E134, E135, E139, E153, E156","E121, E123, E147, E161, E166","E146, E159, E163, E170"
