Day,Morning,Afternoon,Evening
Monday,"E140, E142, E168, E1504, E1507, E1513, E1523, E1526, E1528, E1533, E1536, E1541, E1546, E1547, E1548","E151, E158, E162, E167, E1501, E1509, E1511, E1519, E1522, E1524, E1529, E1532, E1550","E127, E133, E136, E143, E1510, E1514, E1520, E1534, E1539, E1544"
Tuesday,"E168, E1503, E1504, E1512, E1513, E1517, E1518, E1521, E1523, E1533, E1536, E1541, E1543, E1546, E1548","E128, E140, E143, E157, E162, E1506, E1509, E1511, E1520, E1534, E1535, E1545, E1550","E127, E136, E152, E158, E1505, E1514, E1515, E1519, E1530, E1544"
Wednesday,"E1503, E1507, E1508, E1513, E1516, E1518, E1521, E1523, E1526, E1533, E1538, E1541, E1543, E1546, E1548","E145, E151, E157, E1501, E1506, E1514, E1515, E1519, E1522, E1530, E1531, E1532, E1539","E133, E136, E152, E158, E1509, E1510, E1524, E1525, E1545, E1549"
Thursday,"E1503, E1513, E1516, E1517, E1518, E1523, E1528, E1533, E1537, E1538, E1541, E1542, E1543, E1546, E1548","E127, E151, E157, E158, E162, E167, E1511, E1520, E1531, E1532, E1535, E1540, E1550","E133, E143, E1509, E1515, E1524, E1525, E1529, E1539, E1544, E1549"
Friday,"E140, E142, E168, E1508, E1511, E1512, E1516, E1518, E1533, E1536, E1537, E1543, E1546, E1547, E1548","E128, E136, E145, E152, E158, E162, E167, E1501, E1515, E1520, E1525, E1531, E1549","E127, E133, E1505, E1514, E1519, E1529, E1534, E1539, E1544, E1550"
Saturday,"E142, E168, E1503, E1508, E1511, E1516, E1517, E1518, E1521, E1536, E1537, E1538, E1541, E1543, E1547","E140, E151, E152, E157, E1501, E1502, E1506, E1525, E1529, E1534, E1535, E1539, E1540","E127, E133, E136, E143, E1505, E1515, E1524, E1530, E1544, E1549"
Sunday,"E142, E1503, E1511, E1513, E1517, E1518, E1523, E1526, E1528, E1533, E1536, E1537, E1543, E1546, E1548","E136, E140, E145, E151, E152, E158, E167, E1501, E1506, E1531, E1535, E1544, E1550","E127, E133, E143, E1514, E1519, E1530, E1539, E1540, E1545, E1549"
