Day,Morning,Afternoon,Evening
Monday,"E142, E168, E1503, E1513, E1516, E1518, E1521, E1523, E1526, E1528, E1536, E1541, E1543, E1546, E1548","E128, E140, E145, E151, E157, E162, E1501, E1506, E1511, E1519, E1531, E1539, E1544","E127, E133, E136, E158, E167, E1510, E1514, E1515, E1525, E1549"
Tuesday,"E142, E168, E1503, E1504, E1513, E1518, E1521, E1526, E1533, E1536, E1538, E1541, E1543, E1546, E1548","E128, E133, E140, E145, E151, E157, E162, E1506, E1510, E1511, E1529, E1531, E1544","E127, E136, E152, E158, E167, E1524, E1530, E1534, E1539, E1549"
Wednesday,"E168, E1503, E1504, E1513, E1516, E1521, E1523, E1526, E1528, E1533, E1536, E1538, E1543, E1546, E1548","E128, E145, E151, E157, E1501, E1510, E1514, E1519, E1530, E1531, E1539, E1544, E1549","E127, E133, E136, E152, E158, E1509, E1515, E1524, E1529, E1534"
Thursday,"E142, E168, E1503, E1504, E1513, E1516, E1518, E1523, E1526, E1528, E1533, E1536, E1538, E1541, E1546","E127, E145, E151, E157, E162, E1501, E1509, E1510, E1511, E1514, E1531, E1534, E1549","E136, E158, E167, E1515, E1524, E1525, E1529, E1530, E1539, E1544"
Friday,"E142, E168, E1503, E1504, E1516, E1518, E1521, E1523, E1528, E1533, E1536, E1538, E1541, E1543, E1548","E128, E140, E145, E151, E157, E162, E1501, E1506, E1509, E1511, E1519, E1525, E1531","E133, E136, E152, E158, E1514, E1515, E1534, E1539, E1544, E1549"
Saturday,"E142, E168, E1503, E1504, E1513, E1516, E1518, E1523, E1528, E1533, E1538, E1541, E1543, E1546, E1548","E140, E145, E162, E167, E1501, E1506, E1509, E1511, E1519, E1525, E1529, E1530, E1534","E127, E133, E136, E152, E158, E1514, E1515, E1524, E1539, E1544"
Sunday,"E142, E1504, E1513, E1516, E1518, E1521, E1523, E1528, E1533, E1536, E1538, E1541, E1543, E1546, E1548","E128, E140, E145, E151, E152, E157, E162, E167, E1501, E1506, E1509, E1511, E1531","E127, E133, E1510, E1514, E1519, E1524, E1525, E1529, E1530, E1549"
