Day,Morning,Afternoon,Evening
Monday,"E125, E132, E134, E139, E153, E156","E121, E147, E159, E161, E163","E146, E150, E169, E170"
Tuesday,"E129, E134, E135, E139, E153, E156","E121, E123, E146, E161, E163","E147, E160, E166, E169"
Wednesday,"E125, E132, E134, E139, E153, E156","E123, E161, E163, E166, E170","E146, E147, E150, E159"
Thursday,"E130, E134, E137, E139, E153, E156","E121, E123, E146, E169, E170","E147, E159, E161, E163"
Friday,"E125, E132, E134, E139, E153, E156","E121, E123, E160, E161, E170","E148, E150, E163, E169"
Saturday,"E125, E132, E134, E137, E139, E156","E121, E146, E148, E150, E159","E161, E163, E166, E170"
Sunday,"E129, E132, E134, E135, E139, E153","E147, E150, E163, E169, E170","E146, E148, E159, E161"
